degree,gamma,C,coef0,Training Data, Validation Data
3,1.0,1,0.001,99.94897959183675,68.8715953307393
3,10.0,1,0.001,99.94897959183675,68.8715953307393
3,100.0,1,0.001,99.94897959183675,68.67704280155642
4,0.001,1,0.001,74.43877551020408,58.5603112840467
4,0.01,1,0.001,99.94897959183675,68.8715953307393
4,0.1,1,0.001,99.94897959183675,68.8715953307393
4,1.0,1,0.001,99.94897959183675,68.8715953307393
4,100.0,1,0.001,99.18367346938776,68.8715953307393
1,0.001,1,0.01,43.826530612244895,34.824902723735406
1,0.01,1,0.01,93.31632653061224,66.14785992217898
1,0.1,1,0.01,99.59183673469387,65.95330739299611
1,1.0,1,0.01,99.84693877551021,65.95330739299611
1,10.0,1,0.01,99.94897959183675,65.95330739299611
1,100.0,1,0.01,99.94897959183675,65.95330739299611
2,0.001,1,0.01,63.92857142857142,50.583657587548636
2,0.01,1,0.01,99.74489795918367,67.89883268482491
2,0.1,1,0.01,99.94897959183675,68.09338521400778
2,1.0,1,0.01,99.94897959183675,68.09338521400778
2,10.0,1,0.01,99.94897959183675,68.09338521400778
2,100.0,1,0.01,99.94897959183675,68.09338521400778
3,0.001,1,0.01,71.47959183673468,57.58754863813229
3,0.01,1,0.01,99.94897959183675,68.8715953307393
3,0.1,1,0.01,99.94897959183675,68.8715953307393
3,1.0,1,0.01,99.94897959183675,68.8715953307393
3,10.0,1,0.01,99.94897959183675,68.8715953307393
3,100.0,1,0.01,99.94897959183675,68.8715953307393
4,0.001,1,0.01,75.10204081632654,59.92217898832685
4,0.01,1,0.01,99.94897959183675,68.8715953307393
4,0.1,1,0.01,99.94897959183675,68.8715953307393
4,1.0,1,0.01,99.94897959183675,68.8715953307393
1,0.001,1,0.1,43.826530612244895,34.824902723735406
1,0.01,1,0.1,93.31632653061224,66.14785992217898
1,0.1,1,0.1,99.59183673469387,65.95330739299611
1,1.0,1,0.1,99.84693877551021,65.95330739299611
1,10.0,1,0.1,99.94897959183675,65.95330739299611
1,100.0,1,0.1,99.94897959183675,65.95330739299611
2,0.001,1,0.1,67.75510204081633,54.08560311284047
2,0.01,1,0.1,99.74489795918367,67.89883268482491
2,0.1,1,0.1,99.94897959183675,68.09338521400778
2,1.0,1,0.1,99.94897959183675,68.09338521400778
2,10.0,1,0.1,99.94897959183675,68.09338521400778
2,100.0,1,0.1,99.94897959183675,68.09338521400778
3,0.001,1,0.1,77.55102040816327,62.06225680933852
3,0.01,1,0.1,99.94897959183675,68.8715953307393
3,0.1,1,0.1,99.94897959183675,68.8715953307393
3,1.0,1,0.1,99.94897959183675,68.8715953307393
3,10.0,1,0.1,99.94897959183675,68.8715953307393
3,100.0,1,0.1,99.94897959183675,68.67704280155642
4,0.001,1,0.1,81.78571428571428,63.61867704280155
4,0.01,1,0.1,99.94897959183675,68.8715953307393
4,0.1,1,0.1,99.94897959183675,68.8715953307393
4,1.0,1,0.1,99.94897959183675,68.8715953307393
4,10.0,1,0.1,99.43877551020408,69.64980544747081
4,100.0,1,0.1,99.18367346938776,68.8715953307393
1,0.001,1,1.0,43.87755102040816,34.824902723735406
1,0.01,1,1.0,93.31632653061224,66.14785992217898
1,0.1,1,1.0,99.59183673469387,65.95330739299611
1,1.0,1,1.0,99.84693877551021,65.95330739299611
1,10.0,1,1.0,99.94897959183675,65.95330739299611
1,100.0,1,1.0,99.94897959183675,65.95330739299611
2,0.001,1,1.0,82.5,65.1750972762646
2,0.01,1,1.0,99.74489795918367,67.70428015564202
2,0.1,1,1.0,99.94897959183675,68.09338521400778
2,1.0,1,1.0,99.94897959183675,68.09338521400778
2,10.0,1,1.0,99.94897959183675,68.09338521400778
2,100.0,1,1.0,99.94897959183675,68.09338521400778
3,0.001,1,1.0,94.33673469387756,67.70428015564202
3,0.01,1,1.0,99.94897959183675,68.48249027237354
3,0.1,1,1.0,99.94897959183675,68.8715953307393
3,1.0,1,1.0,99.94897959183675,68.8715953307393
3,10.0,1,1.0,99.94897959183675,68.8715953307393
3,100.0,1,1.0,99.94897959183675,68.8715953307393
4,0.001,1,1.0,98.87755102040816,67.89883268482491
4,0.01,1,1.0,99.94897959183675,68.67704280155642
4,0.1,1,1.0,99.94897959183675,68.8715953307393
4,1.0,1,1.0,99.94897959183675,68.8715953307393
4,100.0,1,1.0,99.18367346938776,68.8715953307393
1,0.001,1,10.0,43.826530612244895,34.824902723735406
1,0.01,1,10.0,93.31632653061224,66.14785992217898
1,0.1,1,10.0,99.59183673469387,65.95330739299611
1,1.0,1,10.0,99.84693877551021,65.95330739299611
1,10.0,1,10.0,99.94897959183675,65.95330739299611
1,100.0,1,10.0,99.94897959183675,65.95330739299611
2,0.001,1,10.0,97.90816326530613,66.14785992217898
2,0.01,1,10.0,99.79591836734694,66.14785992217898
2,0.1,1,10.0,99.94897959183675,67.89883268482491
2,1.0,1,10.0,99.94897959183675,68.09338521400778
2,10.0,1,10.0,99.94897959183675,68.09338521400778
2,100.0,1,10.0,99.94897959183675,68.09338521400778
3,0.001,1,10.0,99.79591836734694,65.75875486381322
3,0.01,1,10.0,99.94897959183675,67.70428015564202
3,0.1,1,10.0,99.94897959183675,68.48249027237354
3,1.0,1,10.0,99.94897959183675,68.8715953307393
3,10.0,1,10.0,99.94897959183675,68.8715953307393
3,100.0,1,10.0,99.94897959183675,68.67704280155642
4,0.001,1,10.0,99.94897959183675,65.95330739299611
4,0.01,1,10.0,99.94897959183675,68.28793774319067
4,0.1,1,10.0,99.94897959183675,68.67704280155642
4,1.0,1,10.0,99.94897959183675,68.8715953307393
4,10.0,1,10.0,99.18367346938776,69.06614785992218
1,0.001,1,100.0,43.87755102040816,34.824902723735406
1,0.01,1,100.0,93.31632653061224,66.14785992217898
1,0.1,1,100.0,99.59183673469387,65.95330739299611
1,1.0,1,100.0,99.84693877551021,65.95330739299611
1,10.0,1,100.0,99.94897959183675,65.95330739299611
1,100.0,1,100.0,99.94897959183675,65.95330739299611
2,0.001,1,100.0,99.74489795918367,65.75875486381322
2,0.01,1,100.0,99.94897959183675,65.75875486381322
2,0.1,1,100.0,99.94897959183675,66.53696498054474
2,1.0,1,100.0,99.94897959183675,67.89883268482491
2,10.0,1,100.0,99.94897959183675,68.09338521400778
2,100.0,1,100.0,99.94897959183675,68.09338521400778
3,0.001,1,100.0,99.94897959183675,65.95330739299611
3,0.01,1,100.0,99.94897959183675,65.95330739299611
3,0.1,1,100.0,99.94897959183675,67.70428015564202
3,1.0,1,100.0,99.94897959183675,68.48249027237354
3,10.0,1,100.0,99.94897959183675,68.8715953307393
4,0.001,1,100.0,99.94897959183675,65.75875486381322
4,0.01,1,100.0,99.94897959183675,65.95330739299611
4,0.1,1,100.0,99.94897959183675,68.28793774319067
4,1.0,1,100.0,99.94897959183675,68.67704280155642
4,10.0,1,100.0,99.48979591836735,68.67704280155642
1,0.001,10,0.001,93.31632653061224,66.14785992217898
1,0.01,10,0.001,99.59183673469387,65.95330739299611
1,0.1,10,0.001,99.84693877551021,65.95330739299611
1,1.0,10,0.001,99.94897959183675,65.95330739299611
1,10.0,10,0.001,99.94897959183675,65.95330739299611
1,100.0,10,0.001,99.94897959183675,65.95330739299611
2,0.001,10,0.001,97.29591836734693,67.89883268482491
2,0.01,10,0.001,99.94897959183675,68.09338521400778
2,0.1,10,0.001,99.94897959183675,68.09338521400778
