{'C': 100, 'coef0': 10.0, 'gamma': 0.001, 'kernel': 'sigmoid'},5.0,4.669260700389105
{'C': 100, 'coef0': 10.0, 'gamma': 0.01, 'kernel': 'sigmoid'},3.061224489795918,2.9182879377431905
{'C': 100, 'coef0': 10.0, 'gamma': 0.1, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 100, 'coef0': 10.0, 'gamma': 1.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 100, 'coef0': 10.0, 'gamma': 10.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 100, 'coef0': 10.0, 'gamma': 100.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 100, 'coef0': 100.0, 'gamma': 0.001, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 100, 'coef0': 100.0, 'gamma': 0.01, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 100, 'coef0': 100.0, 'gamma': 0.1, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 100, 'coef0': 100.0, 'gamma': 1.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 100, 'coef0': 100.0, 'gamma': 10.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 100, 'coef0': 100.0, 'gamma': 100.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 1000, 'coef0': 0.001, 'gamma': 0.001, 'kernel': 'sigmoid'},99.84693877551021,61.86770428015564
{'C': 1000, 'coef0': 0.001, 'gamma': 0.01, 'kernel': 'sigmoid'},1.3775510204081634,0.9727626459143969
{'C': 1000, 'coef0': 0.001, 'gamma': 0.1, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 1000, 'coef0': 0.001, 'gamma': 1.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 1000, 'coef0': 0.001, 'gamma': 10.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 1000, 'coef0': 0.001, 'gamma': 100.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 1000, 'coef0': 0.01, 'gamma': 0.001, 'kernel': 'sigmoid'},99.84693877551021,61.86770428015564
{'C': 1000, 'coef0': 0.01, 'gamma': 0.01, 'kernel': 'sigmoid'},1.3265306122448979,0.5836575875486382
{'C': 1000, 'coef0': 0.01, 'gamma': 0.1, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
