{'degree': 1, 'kernel': 'poly', 'gamma': 0.001, 'C': 0.1, 'coef0': 0.1},23.36734693877551,21.011673151750973
{'degree': 1, 'kernel': 'poly', 'gamma': 0.01, 'C': 0.1, 'coef0': 0.1},43.87755102040816,34.824902723735406
{'degree': 1, 'kernel': 'poly', 'gamma': 0.1, 'C': 0.1, 'coef0': 0.1},93.31632653061224,66.14785992217898
{'degree': 1, 'kernel': 'poly', 'gamma': 1.0, 'C': 0.1, 'coef0': 0.1},99.59183673469387,65.95330739299611
{'degree': 1, 'kernel': 'poly', 'gamma': 10.0, 'C': 0.1, 'coef0': 0.1},99.84693877551021,65.95330739299611
{'degree': 1, 'kernel': 'poly', 'gamma': 100.0, 'C': 0.1, 'coef0': 0.1},99.94897959183675,65.95330739299611
{'degree': 2, 'kernel': 'poly', 'gamma': 0.001, 'C': 0.1, 'coef0': 0.1},23.72448979591837,21.78988326848249
{'degree': 2, 'kernel': 'poly', 'gamma': 0.01, 'C': 0.1, 'coef0': 0.1},97.39795918367346,67.70428015564202
{'degree': 2, 'kernel': 'poly', 'gamma': 0.1, 'C': 0.1, 'coef0': 0.1},99.94897959183675,68.09338521400778
{'degree': 2, 'kernel': 'poly', 'gamma': 1.0, 'C': 0.1, 'coef0': 0.1},99.94897959183675,68.09338521400778
{'degree': 2, 'kernel': 'poly', 'gamma': 10.0, 'C': 0.1, 'coef0': 0.1},99.94897959183675,68.09338521400778
{'degree': 2, 'kernel': 'poly', 'gamma': 100.0, 'C': 0.1, 'coef0': 0.1},99.94897959183675,68.09338521400778
{'degree': 3, 'kernel': 'poly', 'gamma': 0.001, 'C': 0.1, 'coef0': 0.1},23.8265306122449,21.98443579766537
{'degree': 3, 'kernel': 'poly', 'gamma': 0.01, 'C': 0.1, 'coef0': 0.1},99.74489795918367,68.48249027237354
{'degree': 3, 'kernel': 'poly', 'gamma': 0.1, 'C': 0.1, 'coef0': 0.1},99.94897959183675,68.8715953307393
{'degree': 3, 'kernel': 'poly', 'gamma': 1.0, 'C': 0.1, 'coef0': 0.1},99.94897959183675,68.8715953307393
{'degree': 3, 'kernel': 'poly', 'gamma': 10.0, 'C': 0.1, 'coef0': 0.1},99.94897959183675,68.8715953307393
{'degree': 3, 'kernel': 'poly', 'gamma': 100.0, 'C': 0.1, 'coef0': 0.1},99.94897959183675,68.8715953307393
{'degree': 4, 'kernel': 'poly', 'gamma': 0.001, 'C': 0.1, 'coef0': 0.1},23.77551020408163,21.40077821011673
{'degree': 4, 'kernel': 'poly', 'gamma': 0.01, 'C': 0.1, 'coef0': 0.1},99.94897959183675,68.8715953307393
{'degree': 4, 'kernel': 'poly', 'gamma': 0.1, 'C': 0.1, 'coef0': 0.1},99.94897959183675,68.8715953307393
{'degree': 4, 'kernel': 'poly', 'gamma': 1.0, 'C': 0.1, 'coef0': 0.1},99.94897959183675,68.8715953307393
{'degree': 4, 'kernel': 'poly', 'gamma': 10.0, 'C': 0.1, 'coef0': 0.1},99.94897959183675,68.67704280155642
{'degree': 4, 'kernel': 'poly', 'gamma': 100.0, 'C': 0.1, 'coef0': 0.1},98.41836734693878,68.8715953307393
{'degree': 1, 'kernel': 'poly', 'gamma': 0.001, 'C': 0.1, 'coef0': 1.0},23.36734693877551,21.011673151750973
